,CompanyName,CompanyNumber,names,roles
1191759,DIGITAL INFRASTRUCTURE GROUP PLC,10475272,"['GATE, Kevin:', 'CAPARRO, James:', 'MILLARD, Stephen Rodger:']","['Secretary', 'Director', 'Director']"
1193674,DIGITALBOX PLC,04606754,"['JOSEPH, David:', 'ARMITAGE, Matthew Robert:', 'CARTER, James Alexander:', 'DOUGLAS, James Robert:', 'HIGGINSON, Martin James:', 'JOSEPH, David:', 'RICH, Marcus Alvin:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1194525,DIGNITY FINANCE PLC,04488292,"['GEORGE, Timothy Francis:', 'JUDD, Andrew:', 'LATHBURY, Alan:']","['Secretary', 'Director', 'Director']"
1194565,DIGNITY PLC,04569346,"['GEORGE, Timothy Francis:', 'HUMPHREYS, Paul Justin:', 'JUDD, Andrew:', 'KENT, Gillian Dawn Celia:', 'MOORE, Dean Roderick:', 'WHILEY, Clive Peter:', 'WILSON, James Edward Hully:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1194852,DIKEOSINI PLC,08227289,"['INTERNATIONAL STRATEGISTS ADVOCATES AND CONSULTANTS LLP:', 'LIPOV, Sergei, Dr:', 'INTERNATIONAL STRATEGISTS ADVOCATES AND CONSULTANTS LLP:']","['Secretary', 'Director', 'Director']"
1195382,DILLISTONE GROUP PLC,04578125,"['POMEROY, Julie Patricia:', 'FEARNLEY, Giles Robin:', 'HAMMOND, Steven Thomas:', 'JAMES, Alexander David:', 'MATHER, Paul Brian:', 'POMEROY, Julie Patricia:', 'STARR, Jason Stuart:', 'WARBURTON, Simon:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1198390,DIPLOMA HOLDINGS PLC,00256111,"['MORRISON, John:', 'GIBBES, Barbara:', 'THOMSON, Jonathan David:']","['Secretary', 'Director', 'Director']"
1198392,DIPLOMA PLC,03899848,"['MORRISON, John:', 'GIBBES, Barbara:', 'HUSE, Geraldine Claire:', 'NICHOLAS, John Edward:', 'SMITH, Andrew Patrick:', 'THOMSON, Jonathan David:', 'THORBURN, Anne:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1199118,DIRECT CORPORATE CLOTHING PLC,03073214,"['SOHAL, Rajinder Singh:', 'SOHAL, Sarbjit Singh:']","['Director', 'Director']"
1199620,DIRECT INSURANCE GROUP PLC,03149879,"['BEARMAN, Pauline Mary:', 'ORAL, Canan:', 'BEARMAN, David Paul:', 'LAWRENCE, Tony James:', 'MILNER, Neil Robert:', 'ORAL, Canan:', 'PIGGOTT, Simon:', 'POTTER, James Richard:']","['Secretary', 'Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1199724,DIRECT LINE INSURANCE GROUP PLC,02280426,"['CLIFTON, Roger Cheston:', 'GRAY, Danuta:', 'GREGORY, Mark Julian:', 'HANSON, Jane Carolyn:', 'HARRIS, Timothy Walter:', 'JAMES, Penelope Jane:', 'JAMES, Sebastian Richard Edward Cuthbert:', 'JOSEPH, Adrian Christopher:', 'MCBAIN, Fiona Catherine:', 'STEWART, Gregor Ninian:', 'WARD, Richard Churchill, Dr:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1199726,DIRECT LINE INSURANCE PLC,AC001576,[],[]
1200659,DIRECTA PLUS PLC,04679109,"['FERRARI, Marco:', 'CESAREO, Giulio Giuseppe:', 'FERRARI, Marco:', 'GANN, David Michael, Professor:', 'HICKINBOTHAM, Richard:', 'MIDDLETON, Peter, Sir:', 'WARNER, Neil William:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1202574,DISCOVERIE GROUP PLC,02008246,"['DAVIDSON-SHRINE, Gregory:', 'DIAMOND, Malcolm Mcdonald:', 'GIBBINS, Simon Mark:', 'GRAHAM, Tracey:', 'JEFFERIES, Nicholas John:', 'THOMPSON, Bruce Mckenzie:', 'WATSON, Clive Graeme:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1202674,DISCOVERY EDUCATION PLC,SC313681,"['INFRASTRUCTURE MANAGERS LIMITED:', 'CHRISTIE, Rory William:', 'COLGAN, Gregory Thomas:', 'FLIGHT, Alexander:', 'RICHARDSON, Christopher Richard:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
1202907,DISCOVORE PLC,06010900,"['RONALDSON, Stephen Frank:', 'ROSS, Jeremy:', 'TENNENT-BHOHI, Burns Singh:', 'WINDHAM, Conrad Andrew:']","['Secretary', 'Director', 'Director', 'Director']"
1202998,DISCUS SYSTEMS PLC,03449736,"['BIDDULPH, Terry:', 'BIDDULPH, Damien:', 'BIDDULPH, Dayle:', 'BIDDULPH, Terry:']","['Secretary', 'Director', 'Director', 'Director']"
1203418,DISPERSION HOLDINGS PLC,12291603,"['LE DRUILLENEC, Timothy Vincent:', 'EDWARDS, Michael Scott:', 'LE DRUILLENEC, Timothy Vincent:', 'RUTLEDGE, Robert Mark:', 'SHER, Michael Misha:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
1203951,DISTGEN HINTON LGC PLC,08626151,"['ZAMICK, John Victor:', 'ASHWORTH, Malcolm:', 'CARNELL, Robert Charles:', 'POTTER, Darran:', 'ZAMICK, John Victor:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
1203952,DISTGEN ROGERSHILL LGC PLC,07913307,"['ASHWORTH, Malcolm:', 'CARNELL, Robert Charles:', 'POTTER, Darran:', 'ZAMICK, John Victor:']","['Director', 'Director', 'Director', 'Director']"
1203962,DISTIL PLC,03727483,"['ONE ADVISORY LIMITED:', 'CLAYDON, Shaun:', 'GOULDING, Donald Colin:', 'GRAIN, Roland Andreas:', ""O'CONNELL, Kate:""]","['Secretary', 'Director', 'Director', 'Director', 'Director']"
1204492,DISTRIBUTION FINANCE CAPITAL HOLDINGS PLC,11911574,"['MAW, Timothy Ian:', 'BAINES, John Duncan:', 'BUTLER, Carole Vera:', ""D'AMMASSA, Carl Mark:"", 'GRATHWOHL, Thomas Judd:', 'GREENE, Stephen:', 'MORRIS, Gavin Peter:', 'STENRØD, Haakon:', 'STEPHENS, Mark St John:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1205042,DIURNAL GROUP PLC,09846650,"['BUNGAY, Richard Edward:', 'BUNGAY, Richard Edward:', 'GODDARD, John Geoffrey:', 'RAYMOND, Alan Michael, Dr:', 'ROSS, Richard, Professor:', 'WHITAKER, Martin James, Dr:', 'WILLIAMS, Dr Samuel Cameron:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1205822,DIVERSIFIED GAS & OIL PLC,09156132,"['THROGMORTON SECRETARIES LLP:', 'GRAY, Bradley:', 'HUTSON, Robert:', 'JOHNSON, David Edward:', 'LITTLE, Melanie:', 'STASH, Sandra:', 'THOMAS, Martin Keith:', 'TURNER, David:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1207014,DIVITIAS WEALTH PLC,11626694,"['D&A SECRETARIAL SERVICES LIMITED:', 'RO, Andrew Ho:', 'WILLIS, Daniel:']","['Secretary', 'Director', 'Director']"
1207552,DIXONS CARPHONE PLC,07105905,"['PATERSON, Nigel:', 'BALDOCK, Alexander David:', 'BURBIDGE, Eileen:', 'DENUNZIO, Antonio:', 'GISLE JOOSEN, Andrea:', 'LIVINGSTON, Ian Paul:', 'MASON, Jonathan Peter:', 'MCBAIN, Fiona Catherine:', 'MURPHY, John Gerard:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1213436,DLL UK EQUIPMENT FINANCE 2019-1 PLC,11630712,"['INTERTRUST CORPORATE SERVICES LIMITED:', 'ABRAHAMS, Susan Iris:', 'INTERTRUST DIRECTORS 1 LIMITED:', 'INTERTRUST DIRECTORS 2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
1216491,DMIS FINANCE PLC,10951478,"['TINGTING, Gu:', 'YUNG KONG, Chin:']","['Director', 'Director']"
1218778,DNEG PLC,11707488,"['LINK COMPANY MATTERS LIMITED:', 'MALHOTRA, Namit:', 'PFLUG, Christopher Ryan:', 'RATHEE, Vikas:']","['Secretary', 'Director', 'Director', 'Director']"
1219106,DNO NORTH SEA PLC,04622251,"['QUINN, Ute Angelique Joas:', 'DALE, Bjorn Kenneth:', 'SPENCER, Christopher Thomas Hyde:']","['Secretary', 'Director', 'Director']"
1220993,DOCTOR CARE ANYWHERE GROUP PLC,08915336,"['CURRAN, Daniel:', 'ABDIN, Romana:', 'BAINES, Jonathan Fitzroy Talbot:', 'CALVER, Simon John:', 'DAMMERY, Richard John Edward:', 'RAVECH, David Jeremy:', 'ROWE, Leanne:', 'THAKAR, Bayju, Dr:', 'WALLACE, Vanessa Miscamble:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1221940,DODS GROUP PLC,04267888,"['FIELDFISHER SECRETARIES LIMITED:', 'BOON, Richard James:', 'BULLOCK, Simon Charles:', 'CONLON, Cornelius Anthony:', 'ENTWISTLE, Angela Elizabeth:', 'IBRAHIM, Munira:', 'LEES, Diane Elizabeth:', 'SMITH, Mark William:', 'VAGHELA, Vijay Lakhman:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1222160,DOG AND BONE COMMUNICATIONS PLC,11952651,"['HABERLIN, Olena:', 'HABERLIN, Olena:', 'HABERLIN, Paul:']","['Secretary', 'Director', 'Director']"
1224569,DOLPHIN FINANCE CORPORATION PLC,01549655,"['ELLIS, Gloria Francesca:', 'ENOCH, Philip Maurice:', 'MELVILLE, Lawrence David:']","['Secretary', 'Director', 'Director']"
1225593,DOMESTIC & GENERAL INSURANCE PLC,00485850,"['KELLY, Madeleine Helen:', 'DAVIES, James:', 'MASON, Ian:', 'MERRY, Barbara Jane:', 'TYLER, David:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
1225594,DOMESTIC & GENERAL INSURANCE PLC,AC000852,[],[]
1226682,DOMINO'S PIZZA GROUP PLC,03853545,"['BUSHNELL, Adrian John:', 'BARSEGIYAN, Natalia:', 'BULL, Ian Alan:', 'DAVID, Stella Julie:', 'FORDHAM, Lynn Rosanne:', 'HALPERN, Colin:', 'HIGGINS, Kevin Paul:', 'NABI, Usman Shamshad:', 'PAUL, Dominic James:', 'SESE, Elias Diaz:', 'SHATTOCK, Matthew John:', 'SMITH, Neil Reynolds:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1228958,DONIC MANAGEMENT PLC,02081743,"['JOYCE, Patricia Mary:', 'JOYCE, Nicholas John:', 'JOYCE, Patricia Mary:']","['Secretary', 'Director', 'Director']"
1231898,DORIEMUS PLC,03877125,"['LYONS, Jessamyn:', 'STRANG, Donald Ian George Layman:', 'COUGHLAN, Keith Dudley:', 'LEE, Gregory Jonathan:', 'STRANG, Donald Ian George Layman:']","['Secretary', 'Secretary', 'Director', 'Director', 'Director']"
1232488,DOROT REAL ESTATE PLC,12327185,"['LEGAL SECRETARIES LTD:', 'CAPITANU, Fernando:', 'DOROT, Partizan:']","['Secretary', 'Director', 'Director']"
1232641,DORRINGTON HOLDINGS PLC,00220970,"['HANOVER MANAGEMENT SERVICES LIMITED:', 'GORVY, Manfred Stanley:', 'LEIBOWITZ, Alan Jay:', 'MOROSS, Trevor:']","['Secretary', 'Director', 'Director', 'Director']"
1232656,DORRINGTON PLC,02151325,"['HANOVER MANAGEMENT SERVICES LIMITED:', 'GIBLIN, Andrew Richard:', 'GORVY, Manfred Stanley:', 'GORVY, Sean, Dr:', 'HARRIS, Robert:', 'JENKINS, Michael Ben:', 'LEIBOWITZ, Alan Jay:', 'MOROSS, Trevor:', 'SALVESEN, Duncan James:', 'THOMPSON, Bruce Oliver:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1232659,DORRINGTON PROPERTIES PLC,02153343,"['HANOVER MANAGEMENT SERVICES LIMITED:', 'GIBLIN, Andrew Richard:', 'GORVY, Manfred Stanley:', 'GORVY, Sean, Dr:', 'HARRIS, Robert:', 'JENKINS, Michael Ben:', 'LEIBOWITZ, Alan Jay:', 'MOROSS, Trevor:', 'THOMPSON, Bruce Oliver:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1234172,DOTDIGITAL GROUP PLC,06289659,"['KASPARIAN, George:', 'AMIN, Paraag:', 'HUARD, Boris Antoine Rene:', ""O'LEARY, Michael Kevin:"", 'PATEL, Milan:', 'RICHARDS, Elizabeth Anne:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
1237432,DOVER HARCOURT PLC,10537069,"['TRUVA CORPORATE ADMINISTRATION LIMITED:', 'DAVIES, David Raymond:', 'HAINES, Kevin Richard:', 'JOHNSON, Roger Daniel Lunn:']","['Secretary', 'Director', 'Director', 'Director']"
1237877,DOW INVESTMENTS PLC,SC125363,"['MCLEISH, William:', 'KILGOUR, Robert Dow:', 'MCLEISH, William David:', 'NEILSON, Anya Elizabeth:']","['Secretary', 'Director', 'Director', 'Director']"
1238780,DOWNING DEVELOPMENT FINANCE PLC,10952607,"['MULLARD, Thomas Edward:', 'YOUNGER, Paul:', 'BOSS, Jonathan Robin:', 'CHANDRA, Parik:', 'JAMESON, Andrew David:']","['Secretary', 'Secretary', 'Director', 'Director', 'Director']"
1238793,DOWNING FOUR VCT PLC,06789187,"['WHITEHOUSE, Grant Leslie:', 'BROCKLEBANK, Aubrey Thomas, Sir:', 'CATLEY, Russell Edward:', 'FLIGHT, Howard Emerson, Lord:']","['Secretary', 'Director', 'Director', 'Director']"
1238814,DOWNING ONE VCT PLC,03150868,"['WHITEHOUSE, Grant Leslie:', 'ALLNER, Chris:', 'DEAN, Barry Malcolm:', 'GOLDSMITH, Stuart Andrew:', 'KAY, Christopher Paul:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
1238823,DOWNING RENEWABLES & INFRASTRUCTURE TRUST PLC,12938740,"['LINK COMPANY MATTERS LIMITED:', 'DE MONTGROS, Joanna Alexandra:', 'LITTLE, Hugh Wilson Mcintosh:', 'PAXTON, Ashley Charles:']","['Secretary', 'Director', 'Director', 'Director']"
1238826,DOWNING STRATEGIC MICRO-CAP INVESTMENT TRUST PLC,10626295,"['WHITEHOUSE, Grant Leslie:', 'ALDOUS, Hugh Graham Cazalet:', 'BELL, Linda Kathryn, Dr:', 'DAWKINS, William Mark Ransford:', 'LEGGET, Robert William Lindsay:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
1238829,DOWNING THREE VCT PLC,05334413,"['WHITEHOUSE, Grant Leslie:', 'HALE, Dennis:', 'JEYNES, Roger David:', 'ROBINSON, Michael John:']","['Secretary', 'Director', 'Director', 'Director']"
1238831,DOWNING TWO VCT PLC,05334418,"['WHITEHOUSE, Grant Leslie:', 'GILLESPIE, Hugh Rollo:', 'HALE, Dennis:', 'MCCANN, Christopher Conor:']","['Secretary', 'Director', 'Director', 'Director']"
1239427,DOWSON 2019-1 PLC,12127682,"['INTERTRUST CORPORATE SERVICES LIMITED:', 'ABRAHAMS, Susan Iris:', 'INTERTRUST DIRECTORS 1  LIMITED:', 'INTERTRUST DIRECTORS 2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
1239429,DOWSON 2020-1 PLC,12403175,"['INTERTRUST CORPORATE SERVICES LIMITED:', 'ABRAHAMS, Susan Iris:', 'INTERTRUST DIRECTORS 1  LIMITED:', 'INTERTRUST DIRECTORS 2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
1239431,DOWSON 2021-1 PLC,13124220,"['INTERTRUST CORPORATE SERVICES LIMITED:', 'ABRAHAMS, Susan Iris:', 'INTERTRUST DIRECTORS 1  LIMITED:', 'INTERTRUST DIRECTORS 2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
1239787,DOZENS SAVINGS PLC,11575749,"['INTERNATIONAL REGISTRARS LIMITED:', 'CHAKRAVARTY, Aritra:', 'RAJPAL, Ajay Kumar:', 'STEEL, Gemma Katherine Sapwell:']","['Secretary', 'Director', 'Director', 'Director']"
1240236,DP POLAND PLC,07278725,"['BODENHAM, Patrick:', 'CHECHELSKI, Jakub Milosz:', 'DONALDSON, Nicholas John:', 'DZIERZEK, Piotr:', 'GLEBOCKI, Przemyslaw:', 'MORRISH, Robert Nicholas Lutwyche:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
1241187,DPLC INVESTMENTS LIMITED,12510199,"['PERKINS, David Philip:', 'CASSON, Heather Laura:', 'PERKINS, David Philip:']","['Secretary', 'Director', 'Director']"
1244661,DR&I TRUST PLC,12919736,"['MCGING, Tony Michael:', 'MCGING, Tony Michael:', 'WILLIAMS, Tom Sean:']","['Secretary', 'Director', 'Director']"
1244908,DR. MARTENS PLC,12960219,"['REICHWALD, Emily Clare:', 'ALHADEFF, Yasmin Tara:', 'MASON, Paul:', 'MORTIMORE, Jon William:', 'NWOKORIE, Onyeije Ogueri:', 'PERRISS, Robyn:', 'ROGERS, Ian Christian:', 'WEEDALL, Lynne Marie:', 'WILSON, Kenneth Charles:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1247515,DRAKE INSURANCE PLC,AC001399,[],[]
1248024,DRAPER ESPRIT PLC,09799594,"['PRISM COSEC LIMITED:', 'CHAPMAN, Stuart Malcom:', 'COOK, Grahame David:', 'DAVIS, Martin Michael Arthur:', 'PELLY, Richard Fowler:', 'SLATFORD, Karen:', 'WILKINSON, Benjamin David, Mr:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1248025,DRAPER ESPRIT VCT PLC,03424984,"['WHITEHOUSE, Grant Leslie:', 'ALDOUS, Hugh Graham Cazalet:', 'BROCK, David Michael:', 'JACKSON, Michael Edward Wilson:', 'LEWIS, Nicholas Peter:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
1248483,DRAX FINCO PLC,10664639,"['GLADDEN, Brett:', 'GARDINER, Dwight Daniel Willard:', 'KING, Christopher Gordon:', 'SKELTON, Andrew Keith:']","['Secretary', 'Director', 'Director', 'Director']"
1248489,DRAX GROUP PLC,05562053,"['GLADDEN, Brett Nicholas:', 'BAXTER, John:', 'COX, Philip Gotsall:', 'GARDINER, Dwight Daniel Willard:', 'HODSON, Nicola, Dr:', 'NUSSBAUM, David Simon Matthew:', 'SIMMS, Vanessa Kate:', 'SKELTON, Andrew Keith:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1252250,DRI HEALTHCARE PLC,12362945,"['LINK COMPANY MATTERS LIMITED:', 'COLLINS, Gary Michael:', 'GEORGE LUTZ, Peter:', 'LEWIS LA TORRE, Catherine Elizabeth:', 'MUSSENDEN, Paul Justin:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
1254311,DRIVER GROUP PLC,03475146,"['FERNS, Tom Hugh:', 'COLLINI, Peter Mark:', 'FILKIN, Elizabeth Jill:', 'KILGOUR, David John:', 'MULLEN, John Prentice:', 'NORRIS, Steven John:', 'WHEELER, Mark:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1257122,DRUM INCOME PLUS REIT PLC,09511797,"['JTC (UK) LIMITED:', 'LAING, Andrew Arthur:', 'LITTLE, Hugh Wilson Mcintosh:', 'ROBERTSON, Alan Scott:']","['Secretary', 'Director', 'Director', 'Director']"
1257880,DRUMZ PLC,00298654,"['HAINES, Marie-Claire Katerina:', 'BENNETT, Simon Charles:', 'FORREST, Angus George Patrick:', 'MALDE, Nishith:', 'WAKEFIELD, John Nigel:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
1257978,DRURY LANE FUNDING 2020-1 PLC,12767979,"['CSC CORPORATE SERVICES (UK) LIMITED:', 'STERNBERG, Aline:', 'CSC DIRECTORS (NO.1) LIMITED:', 'CSC DIRECTORS (NO.2) LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
1259537,DS SMITH PLC,01377658,"['SIMM, Iain David Cameron:', 'BAXTER, Celia Frances:', 'DRABBLE, Geoffrey:', 'KESSEL, Alina:', 'MARSH, Adrian Ross Thomas:', 'ROBBIE, David Andrew:', 'ROBERTS, Miles William:', 'SMALLEY, Louise Helen:', 'SOAMES, Rupert Christopher:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1261883,DSV DIGITAL STORED VALUE PLC,11230508,"['BARANDUN, Rolf:', 'APARICIO ARMAS, Rina:', 'BARANDUN, Rolf:']","['Secretary', 'Director', 'Director']"
1262609,DTCC DERIVATIVES REPOSITORY PLC,07278142,"['NICHOLS, Annette Elizabeth:', 'ASBERY, Richard James:', 'BAILEY, Thomas:', 'BOWLES, Johannah Lizbeth:', 'CARRIER, Michael John:', 'CESCUT, Michele Jeanne Renee:', 'CHILDS, Christopher Mark:', 'DELUCA, Anthony Joseph:', 'FAUCHEUX, Anne:', 'FOREY, Gerald:', 'KEADY, Timothy Patrick:', 'LAWTON, David Michael:', 'MAHONEY, Michael:', 'MCCARTHY, Richard John:', 'PAREDES, Diane Helene:', 'PRIMAVERA, Todd Gerald:', 'PRIMROSE, Natalie Joy:', 'SHACKLETON, Sally Lorraine:', 'SHOEMAKER, Drew:', 'SINGHVI, Puneet:', 'TYSK-COSGROVE, Susan Jean:', 'VERON, Nicolas:', 'WALLIS, Kathryn Patricia:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1262765,DTEK FINANCE PLC,08422508,"['TMF CORPORATE ADMINISTRATION SERVICES LIMITED:', 'BASTIN, Johan Frans Jozef Maria:', 'TIMCHENKO, Maksym Viktorovych:']","['Secretary', 'Director', 'Director']"
1263875,DUAL PREPAY FINANCIAL SERVICES PLC,11996206,"['SHIAD, Kalik Meah:']",['Director']
1265498,DUDLEY SUMMIT PLC,04180439,"['RAPLEY, Wendy Lisa:', 'SMITH, Martin Timothy:', 'SOLLEY, Christopher Thomas:', 'TEMPLETON, Matthew:', 'THOMPSON, Roger Mark:']","['Secretary', 'Director', 'Director', 'Director', 'Director']"
1266589,DUKEMOUNT CAPITAL PLC,07611240,"['ADAM, Stuart James:', 'DART, Geoffrey Gilbert:', 'GAZZARD, Paul Terence:']","['Secretary', 'Director', 'Director']"
1266770,DUKINFIELD II PLC,10177334,"['INTERTRUST CORPORATE SERVICES LIMITED:', 'ABRAHAMS, Susan Iris:', 'INTERTRUST DIRECTORS 1 LIMITED:', 'INTERTRUST DIRECTORS 2 LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
1266776,DUKINFIELD PLC,09677266,"['INTERTRUST CORPORATE SERVICES LIMITED:', 'ABRAHAMS, Susan Iris:', 'PEARCE, Clifford:']","['Secretary', 'Director', 'Director']"
1269542,DUNEDIN ENTERPRISE INVESTMENT TRUST PLC,SC052844,"['DUNEDIN LLP:', 'BUDGE, Duncan William Allan:', 'FINLAYSON, Brian:', 'LANE, Angela Claire:']","['Secretary', 'Director', 'Director', 'Director']"
1269570,DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC,SC000881,"['ABERDEEN ASSET MANAGEMENT PLC:', 'BARRON, David James:', 'JUDD, Jasper Rayner Augusto:', 'MONTGOMERY, Christine Ann:', 'SCOTT, Elisabeth Charlotte:', 'WILLIAMS, Howard:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director']"
1269685,DUNELM GROUP PLC,04708277,"['DURRANT, Dawn Elizabeth:', 'ADDERLEY, William Lester:', 'BULL, Ian Alan:', 'CARR, Laura Elizabeth:', 'HARRISON, Andrew:', 'REEVE, William Frederick:', 'RUIS, Peter Timothy John:', 'SEARS, Marion Jane:', 'TAAVENIKU, Arja Susanna:', 'VENNELLS, Paula Anne:', 'WILKINSON, Nicholas Guy:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1270384,DUNLUCE PLC,NI026328,"['HENRY, Nigel Robert:', 'HENRY, Nigel Robert:', 'HENRY, Robert Alexander:']","['Secretary', 'Director', 'Director']"
1272386,DURBIN PLC,03626868,"['MCCARTHY, Aisling:', 'DEMPSEY, Padraic:', 'DOLPHIN, Tim:', 'MORGAN, Leslie:']","['Secretary', 'Director', 'Director', 'Director']"
1272486,DURGAN MONSTEIN PLC,04288359,"['DURGAN, Graham Richard:', 'DURGAN, Graham Richard:', 'DURGAN, Jane Helen:']","['Secretary', 'Director', 'Director']"
1272816,DURHAM MORTGAGES A PLC,11304425,"['CSC CORPORATE SERVICES (UK) LIMITED:', 'NOWACKI, John Paul:', 'CSC DIRECTORS (NO.1) LIMITED:', 'CSC DIRECTORS (NO.2) LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
1272818,DURHAM MORTGAGES B PLC,11304468,"['CSC CORPORATE SERVICES (UK) LIMITED:', 'NOWACKI, John Paul:', 'CSC DIRECTORS (NO.1) LIMITED:', 'CSC DIRECTORS (NO.2) LIMITED:']","['Secretary', 'Director', 'Director', 'Director']"
1274896,DVF GROUP PLC,03979993,"['ABDUL AZIZ, Mohammed Riaz:', 'WITT, Karl-Heinz:']","['Director', 'Director']"
1276252,DWF GROUP PLC,11561594,"['STOKER, Mollie:', 'BAINS, Seema Sureshchandra:', 'BLOOMER, Jonathan William:', 'CICCHETTI, Michele:', 'COLAIANNI, Teresa:', 'DOUGHTY, Matthew Ian:', 'DUNCAN, Samantha Jane:', 'KNOWLES, Nigel Graham, Sir:', 'SAVAGE, Luke:', 'STEFANI, Christopher James:', 'SULLIVAN, Chris:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1276661,DWR CYMRU (FINANCING) UK PLC,11949988,"['WILLIAMS, Nicola Redfern:', 'DAVIS, Peter Michael:', 'MORGAN, Roger Stanley Ashton:', 'PERRY, Peter David:']","['Secretary', 'Director', 'Director', 'Director']"
1276923,DX (GROUP) PLC,08696699,"['DEARDS, Russell Alan:', 'BLACK, David Russell:', 'DUNN, Lloyd John Charles:', 'GOODSON, Paul Andrew:', 'GRAY, Ian Archie:', 'MULLIGAN, David Kevin:', 'SERIES, Ronald Charles:']","['Secretary', 'Director', 'Director', 'Director', 'Director', 'Director', 'Director']"
1277121,DXS INTERNATIONAL PLC,06311313,"['MORGAN, Colin Graham:', 'BAUER, Steven Craig, Dr:', 'IMMELMAN, David:', 'SUTCLIFFE, Robert Keith:']","['Secretary', 'Director', 'Director', 'Director']"
1277614,DYH GLOBAL PLC,11041746,"['DARTSCH, Armin:', 'DARTSCH, Armin:', 'GARKE, Andreas:']","['Secretary', 'Director', 'Director']"
1280352,DYSK PLC,05003181,"['WELCH, Nigel Kelby:', 'SKELTON, Andrew Harry:', 'SKELTON, Jack:']","['Secretary', 'Director', 'Director']"
1280483,DYSON GROUP PLC,00163096,"['MCQUINN, Richard:', 'COOPER, Julian Edward Peregrine:', 'ROSSON, Gavin Jon:', 'STERNBRINK, Magnus Goran:']","['Secretary', 'Director', 'Director', 'Director']"
1282114,E C H G (HARROW) HOMES PLC,02865288,"['SHANAB, Sara:', 'GLENTON, John Albert:', 'GREGG, Ian Andrew:']","['Secretary', 'Director', 'Director']"
